version,2.2.0
info,balls_per_over,6
info,team,Afghanistan
info,team,India
info,gender,male
info,season,2023/24
info,date,2023/10/11
info,event,ICC Cricket World Cup
info,match_number,9
info,venue,"Arun Jaitley Stadium, Delhi"
info,city,Delhi
info,toss_winner,Afghanistan
info,toss_decision,bat
info,player_of_match,RG Sharma
info,umpire,MA Gough
info,umpire,PR Reiffel
info,reserve_umpire,Sharfuddoula
info,tv_umpire,M Erasmus
info,match_referee,JJ Crowe
info,winner,India
info,winner_wickets,8
info,player,Afghanistan,Rahmanullah Gurbaz
info,player,Afghanistan,Ibrahim Zadran
info,player,Afghanistan,Rahmat Shah
info,player,Afghanistan,Hashmatullah Shahidi
info,player,Afghanistan,Azmatullah Omarzai
info,player,Afghanistan,Mohammad Nabi
info,player,Afghanistan,Najibullah Zadran
info,player,Afghanistan,Rashid Khan
info,player,Afghanistan,Mujeeb Ur Rahman
info,player,Afghanistan,Naveen-ul-Haq
info,player,Afghanistan,Fazalhaq Farooqi
info,player,India,RG Sharma
info,player,India,Ishan Kishan
info,player,India,V Kohli
info,player,India,SS Iyer
info,player,India,KL Rahul
info,player,India,HH Pandya
info,player,India,RA Jadeja
info,player,India,SN Thakur
info,player,India,Kuldeep Yadav
info,player,India,JJ Bumrah
info,player,India,Mohammed Siraj
info,registry,people,Azmatullah Omarzai,8f6dd463
info,registry,people,Fazalhaq Farooqi,e9c7f0d0
info,registry,people,HH Pandya,dbe50b21
info,registry,people,Hashmatullah Shahidi,c2a46cb4
info,registry,people,Ibrahim Zadran,d4550956
info,registry,people,Ishan Kishan,752f7486
info,registry,people,JJ Bumrah,462411b3
info,registry,people,JJ Crowe,2e760301
info,registry,people,KL Rahul,b17e2f24
info,registry,people,Kuldeep Yadav,8d2c70ad
info,registry,people,M Erasmus,15d3c895
info,registry,people,MA Gough,76752ac8
info,registry,people,Mohammad Nabi,62af8546
info,registry,people,Mohammed Siraj,2f49c897
info,registry,people,Mujeeb Ur Rahman,7d92277a
info,registry,people,Najibullah Zadran,1212cbec
info,registry,people,Naveen-ul-Haq,c0c411cb
info,registry,people,PR Reiffel,c9354f29
info,registry,people,RA Jadeja,fe93fd9d
info,registry,people,RG Sharma,740742ef
info,registry,people,Rahmanullah Gurbaz,0bacade8
info,registry,people,Rahmat Shah,f9c29fcd
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,SN Thakur,1abb78f8
info,registry,people,SS Iyer,85ec8e33
info,registry,people,Sharfuddoula,63896abb
info,registry,people,V Kohli,ba607b88
