version,2.2.0
info,balls_per_over,6
info,team,Afghanistan
info,team,Pakistan
info,gender,male
info,season,2023
info,date,2023/08/24
info,event,Afghanistan v Pakistan
info,match_number,2
info,venue,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota"
info,city,Hambantota
info,toss_winner,Afghanistan
info,toss_decision,bat
info,player_of_match,Shadab Khan
info,umpire,Bismillah Shinwari
info,umpire,Sharfuddoula
info,reserve_umpire,Izatullah Safi
info,tv_umpire,Nitin Menon
info,match_referee,RS Madugalle
info,winner,Pakistan
info,winner_wickets,1
info,player,Afghanistan,Rahmanullah Gurbaz
info,player,Afghanistan,Ibrahim Zadran
info,player,Afghanistan,Mohammad Nabi
info,player,Afghanistan,Rashid Khan
info,player,Afghanistan,Shahidullah
info,player,Afghanistan,Hashmatullah Shahidi
info,player,Afghanistan,Abdul Rahman
info,player,Afghanistan,Riaz Hassan
info,player,Afghanistan,Ikram Alikhil
info,player,Afghanistan,Mujeeb Ur Rahman
info,player,Afghanistan,Fazalhaq Farooqi
info,player,Pakistan,Fakhar Zaman
info,player,Pakistan,Imam-ul-Haq
info,player,Pakistan,Babar Azam
info,player,Pakistan,Mohammad Rizwan
info,player,Pakistan,Agha Salman
info,player,Pakistan,Usama Mir
info,player,Pakistan,Iftikhar Ahmed
info,player,Pakistan,Shadab Khan
info,player,Pakistan,Shaheen Shah Afridi
info,player,Pakistan,Naseem Shah
info,player,Pakistan,Haris Rauf
info,registry,people,Abdul Rahman,5fd762d5
info,registry,people,Agha Salman,89c16049
info,registry,people,Babar Azam,8a75e999
info,registry,people,Bismillah Shinwari,cae815a0
info,registry,people,Fakhar Zaman,1777c020
info,registry,people,Fazalhaq Farooqi,e9c7f0d0
info,registry,people,Haris Rauf,24bb1c2f
info,registry,people,Hashmatullah Shahidi,c2a46cb4
info,registry,people,Ibrahim Zadran,d4550956
info,registry,people,Iftikhar Ahmed,29e253dd
info,registry,people,Ikram Alikhil,f67c958d
info,registry,people,Imam-ul-Haq,40c041ea
info,registry,people,Izatullah Safi,0429e73e
info,registry,people,Mohammad Nabi,62af8546
info,registry,people,Mohammad Rizwan,2f26ac1a
info,registry,people,Mujeeb Ur Rahman,7d92277a
info,registry,people,Naseem Shah,9c9af282
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,RS Madugalle,766b5798
info,registry,people,Rahmanullah Gurbaz,0bacade8
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,Riaz Hassan,33f8789e
info,registry,people,Shadab Khan,9de62878
info,registry,people,Shaheen Shah Afridi,45a7e761
info,registry,people,Shahidullah,82b90140
info,registry,people,Sharfuddoula,63896abb
info,registry,people,Usama Mir,6dd8b88c
