version,2.2.0
info,balls_per_over,6
info,team,Sri Lanka
info,team,Afghanistan
info,gender,male
info,season,2023/24
info,date,2024/02/09
info,event,Afghanistan tour of Sri Lanka
info,match_number,1
info,venue,Pallekele International Cricket Stadium
info,city,Kandy
info,toss_winner,Afghanistan
info,toss_decision,field
info,player_of_match,P Nissanka
info,umpire,AG Wharf
info,umpire,RR Wimalasiri
info,reserve_umpire,RMPJ Rambukwella
info,tv_umpire,MA Gough
info,match_referee,BC Broad
info,winner,Sri Lanka
info,winner_runs,42
info,player,Sri Lanka,P Nissanka
info,player,Sri Lanka,WIA Fernando
info,player,Sri Lanka,BKG Mendis
info,player,Sri Lanka,S Samarawickrama
info,player,Sri Lanka,KIC Asalanka
info,player,Sri Lanka,J Liyanage
info,player,Sri Lanka,PWH de Silva
info,player,Sri Lanka,M Theekshana
info,player,Sri Lanka,PM Liyanagamage
info,player,Sri Lanka,PVD Chameera
info,player,Sri Lanka,D Madushanka
info,player,Afghanistan,Rahmanullah Gurbaz
info,player,Afghanistan,Ibrahim Zadran
info,player,Afghanistan,Rahmat Shah
info,player,Afghanistan,Hashmatullah Shahidi
info,player,Afghanistan,Azmatullah Omarzai
info,player,Afghanistan,Gulbadin Naib
info,player,Afghanistan,Mohammad Nabi
info,player,Afghanistan,Ikram Alikhil
info,player,Afghanistan,Noor Ahmad
info,player,Afghanistan,Fazalhaq Farooqi
info,player,Afghanistan,Fareed Ahmad
info,registry,people,AG Wharf,2e0fcc58
info,registry,people,Azmatullah Omarzai,8f6dd463
info,registry,people,BC Broad,d6a7dd38
info,registry,people,BKG Mendis,5d1e7582
info,registry,people,D Madushanka,de7d833e
info,registry,people,Fareed Ahmad,67b7bad4
info,registry,people,Fazalhaq Farooqi,e9c7f0d0
info,registry,people,Gulbadin Naib,9f77963a
info,registry,people,Hashmatullah Shahidi,c2a46cb4
info,registry,people,Ibrahim Zadran,d4550956
info,registry,people,Ikram Alikhil,f67c958d
info,registry,people,J Liyanage,84212ffb
info,registry,people,KIC Asalanka,732c038e
info,registry,people,M Theekshana,f24c6701
info,registry,people,MA Gough,76752ac8
info,registry,people,Mohammad Nabi,62af8546
info,registry,people,Noor Ahmad,efc04be7
info,registry,people,P Nissanka,8ee36b18
info,registry,people,PM Liyanagamage,3ee0050f
info,registry,people,PVD Chameera,327b58d3
info,registry,people,PWH de Silva,a97c8ec2
info,registry,people,RMPJ Rambukwella,13fa6ffc
info,registry,people,RR Wimalasiri,4950c8db
info,registry,people,Rahmanullah Gurbaz,0bacade8
info,registry,people,Rahmat Shah,f9c29fcd
info,registry,people,S Samarawickrama,9ab2914d
info,registry,people,WIA Fernando,9550470d
